O1,O2,O3,O4,O5,O6,O7,H_exact,G_exact,K_exact,H_L_exact,H_R_exact,H_ctrap,G_ctrap,K_ctrap,H_mid,G_mid,K_mid,model,param,layer,type,n
-0.1516402568668127,-0.08844983391463757,-0.04348068777471781,-0.004225828917697072,0.03465146478265524,0.07886957935988903,0.1408502496778965,0.10279224472092646,-0.008127371807744742,0.6112013785077052,0.06343453201564841,0.06221899133101486,0.0971536438446492,-0.0075789103974342395,0.5836701208722931,0.0836597066372633,-0.006745163022432218,0.6405662970967726,GPT2-Small,transformer.h.2.mlp.c_fc.weight,2,ffn_input,2359296
-0.09824792481958866,-0.05651313718408346,-0.026206522015854716,2.0045394194312394e-05,0.026257451623678207,0.056607685983181,0.09828453697264194,0.06946746478873059,0.0025494419361351234,0.6136363241211632,0.04245850165176532,0.04279701782618063,0.06509345749509521,-0.00016675153014762242,0.5812774838723994,0.05656041158363223,0.00048141455466947636,0.6367903102140307,GPT2-Small,transformer.h.2.mlp.c_proj.weight,2,ffn_output,2359296
-0.15417632833123207,-0.08607739210128784,-0.03953905729576945,-7.77095410740003e-05,0.039418102242052555,0.08584780804812908,0.1543037947267294,0.10865445956490115,0.000489860334586857,0.6266159966507701,0.06805178917085358,0.06811745577076908,0.10230768093606457,0.0013444475162847959,0.5970005426190966,0.08596260007470846,-0.0004313792913796471,0.6675082050818187,GPT2-Small,transformer.h.3.attn.c_attn.weight,3,attn_input,1769472
-0.09028295148164034,-0.051735274493694305,-0.023989652981981635,2.6995359803549945e-05,0.02417522040195763,0.051841624081134796,0.09056347887963057,0.06414998218433476,0.00010516125256245019,0.6159969840467495,0.03953250855196978,0.03949988255243606,0.05998501426074654,0.0020205513254828804,0.5834237771584475,0.05178844928741455,0.0005055071985532003,0.6404978272325652,GPT2-Small,transformer.h.3.attn.c_proj.weight,3,attn_output,589824
-0.15187940746545792,-0.09005441330373287,-0.0450404928997159,-0.005466438829898834,0.03393180528655648,0.07843084447085857,0.13953751884400845,0.10187181314504296,-0.004747004239422218,0.6039349409185896,0.0618853572069003,0.06116253769914193,0.09677464474225417,-0.004356875202010722,0.578363404205026,0.08424262888729572,-0.004099416068797384,0.63045464905723,GPT2-Small,transformer.h.3.mlp.c_fc.weight,3,ffn_input,2359296
-0.09748751204460859,-0.056075592525303364,-0.026057176990434527,2.2247731976676732e-06,0.02608357183635235,0.05604910384863615,0.097385473549366,0.0687584353578087,0.002533968194009333,0.6125072788407429,0.041945114457693854,0.04228496981902321,0.06459897631430067,-0.00037104260617127895,0.5812507287758558,0.05606234818696976,-0.00027592692834920866,0.636488844041865,GPT2-Small,transformer.h.3.mlp.c_proj.weight,3,ffn_output,2359296
-0.15472606010735035,-0.08667192608118057,-0.03972308384254575,0.00019652093760669231,0.040109921246767044,0.08689425513148308,0.15501197427511215,0.11040076537330704,-0.00040272457287358616,0.6287015721151279,0.06944132987216016,0.06937693963366286,0.10269759449874982,1.7394692856764637e-06,0.5944011724206625,0.08678309060633183,-0.00098356041319888,0.6622978845500332,GPT2-Small,transformer.h.4.attn.c_attn.weight,4,attn_input,1769472
-0.09971234761178493,-0.05653699114918709,-0.026197133120149374,-9.425818643649109e-05,0.02615497726947069,0.056634838692843914,0.09975882060825825,0.07071726217439961,0.0011717389258531596,0.620666884200025,0.043897016119844076,0.04388670942603772,0.06614077201811597,0.0010797459421203945,0.5882342238128192,0.0565859149210155,0.0025303462613401628,0.6499809097183318,GPT2-Small,transformer.h.4.attn.c_proj.weight,4,attn_output,589824
-0.14883688278496265,-0.08682159148156643,-0.04206827562302351,-0.0029390635900199413,0.03601920511573553,0.080208545550704,0.1417566053569317,0.10164903800884634,-0.0031933484136486036,0.6071950450710903,0.061928193345723415,0.06151339108470544,0.09649782907217741,-0.0034319984832129674,0.58133112731992,0.08351506851613522,-0.00439991706814296,0.6361307341862471,GPT2-Small,transformer.h.4.mlp.c_fc.weight,4,ffn_input,2359296
-0.09845019225031137,-0.05688170436769724,-0.026400783099234104,-3.865855660478701e-06,0.02639957796782255,0.05681837256997824,0.09855959843844175,0.06939504439425032,0.0026492600188717133,0.6109389360021321,0.042209513858628346,0.04258275531345967,0.0652537876740098,0.0009236889306855648,0.5799079124583618,0.05685003846883774,-0.0004890065855322286,0.6341659280527341,GPT2-Small,transformer.h.4.mlp.c_proj.weight,4,ffn_output,2359296
-0.14157943800091743,-0.08090908452868462,-0.03771347086876631,-8.425158011959866e-05,0.03742134338244796,0.08070972748100758,0.1414793524891138,0.09946708036053888,-0.00024349628450641216,0.6134087085412483,0.06099890362321709,0.06102904298943633,0.09391789877554402,-0.00013830198956990452,0.584892171010038,0.0808094060048461,-0.0001909052978064985,0.6432542525629624,GPT2-Small,transformer.h.5.attn.c_attn.weight,5,attn_input,1769472
-0.1035658298060298,-0.059594317339360714,-0.027700885431841016,-2.9202145924500655e-05,0.027747830376029015,0.05956915766000748,0.10345417819917202,0.07261312842740246,0.0005534941916145112,0.6101125418899723,0.04429817237308113,0.04430618834576991,0.0686349026800599,0.0001635766472049647,0.581005986692492,0.059581737499684095,0.00027898324126533254,0.6359804973719314,GPT2-Small,transformer.h.5.attn.c_proj.weight,5,attn_output,589824
-0.14668147265911102,-0.0862825084477663,-0.04237489867955446,-0.003762058215215802,0.03471136512234807,0.07807170413434505,0.137838214635849,0.09957513090849912,-0.004336617474754852,0.6044556884079225,0.060506388428217955,0.05987112017499371,0.09451367851579562,-0.003970722068994717,0.5787293104184351,0.08217710629105568,-0.004178097246193648,0.6310559986085655,GPT2-Small,transformer.h.5.mlp.c_fc.weight,5,ffn_input,2359296
